time,theta,theta_error,omega,torque
0.0,3.0915926535897933,3.0915926535897933,0.0,-3.0
0.05,3.0778860858864183,3.0778860858864183,-0.5457906133961907,-3.0
0.1,3.0374801866418615,3.0374801866418615,-1.0636579850462675,-3.0
0.15000000000000002,2.9724044928486357,2.9724044928486357,-1.5286656545069337,-3.0
0.2,2.885861748166038,2.885861748166038,-1.9190974876060753,-3.0
0.25,2.7820249236002823,2.7820249236002823,-2.218131790408551,-3.0
0.30000000000000004,2.6657539307210403,2.6657539307210403,-2.4153183142861696,-3.0
0.35000000000000003,2.542252053067341,2.542252053067341,-2.507442385781137,-3.0
0.4,2.416702342656091,2.416702342656091,-2.4984212610317402,2.25
0.45,2.320087772152432,2.320087772152432,-1.3553848810043745,2.25
0.5,2.2818763385810925,2.2818763385810925,-0.16942534086208005,-3.0
0.55,2.277029730724607,2.277029730724607,-0.023986946837635498,3.0
0.6000000000000001,2.309379008634936,2.309379008634936,1.3138964111585805,3.0
0.65,2.407635768637112,2.407635768637112,2.6044689337814413,3.0
0.7000000000000001,2.568184068339633,2.568184068339633,3.796195920741663,3.0
0.75,2.784595164789005,2.784595164789005,4.828346956197142,0.75
0.8,3.036088443782795,3.036088443782795,5.191461016345898,3.0
0.8500000000000001,-2.9724679206040054,-2.9724679206040054,5.748888392988817,2.25
0.9,-2.6805713299099483,-2.6805713299099483,5.881869809528869,3.0
0.9500000000000001,-2.384836973778325,-2.384836973778325,5.908098009292645,3.0
1.0,-2.0932581493014495,-2.0932581493014495,5.725764524579453,2.25
1.05,-1.8183249353090944,-1.8183249353090944,5.254953415781488,0.0
1.1,-1.5800390326264266,-1.5800390326264266,4.271916996575234,2.25
1.1500000000000001,-1.3799010640155183,-1.3799010640155183,3.736790051094528,0.75
1.2000000000000002,-1.2132714839320466,-1.2132714839320466,2.9361085012817445,3.0
1.25,-1.074170249215003,-1.074170249215003,2.6374980112541166,3.0
1.3,-0.9484872883832409,-0.9484872883832409,2.4008461675878965,-2.25
1.35,-0.8592310771047988,-0.8592310771047988,1.1789788795888585,2.25
1.4000000000000001,-0.8073739808858376,-0.8073739808858376,0.9011425915998923,3.0
1.4500000000000002,-0.7648400711236651,-0.7648400711236651,0.8051838293437431,-3.0
1.5,-0.7564421390434095,-0.7564421390434095,-0.4677126934787593,-3.0
1.55,-0.811835455735415,-0.811835455735415,-1.7538897187907425,-3.0
1.6,-0.9327555148092985,-0.9327555148092985,-3.095071955671068,-3.0
1.6500000000000001,-1.122773990128369,-1.122773990128369,-4.521119941958996,-3.0
1.7000000000000002,-1.3863737937682101,-1.3863737937682101,-6.035611890832886,-3.0
1.75,-1.7271256936275758,-1.7271256936275758,-7.594588356268158,-3.0
1.8,-2.144748751249855,-2.144748751249855,-8.0,-3.0
1.85,-2.5776774469188446,-2.5776774469188446,-8.0,-3.0
1.9000000000000001,-3.0022396266401743,-3.0022396266401743,-8.0,-3.0
1.9500000000000002,2.86638703516444,2.86638703516444,-8.0,-3.0
2.0,2.461622099269687,2.461622099269687,-8.0,-3.0
2.0500000000000003,2.0648589534616812,2.0648589534616812,-7.829545615660009,-3.0
2.1,1.681681003414207,1.681681003414207,-7.479183670317046,-3.0
2.15,1.3176114788163087,1.3176114788163087,-7.087970144512799,-1.5
2.2,0.9789442252027865,0.9789442252027865,-6.481619918709161,3.0
2.25,0.6890428142382108,0.6890428142382108,-5.1468511715261025,2.25
2.3000000000000003,0.45723172093508024,0.45723172093508024,-4.15792092946743,3.0
2.35,0.2739403619193741,0.2739403619193741,-3.2022226531378637,3.0
2.4000000000000004,0.13446121215451523,0.13446121215451523,-2.399711230510343,2.25
2.45,0.02823620773847324,0.02823620773847324,-1.8669048800394972,3.0
