time,theta,theta_error,omega,torque
0.0,3.0915926535897933,3.0915926535897933,0.0,-5.0
0.05,3.0859717234861854,3.0859717234861854,-0.22428432756606012,-5.0
0.1,3.0692649111414845,3.0692649111414845,-0.4425355803806267,-5.0
0.15000000000000002,3.041907359622412,3.041907359622412,-0.6494552749475772,-5.0
0.2,3.0045917135770175,3.0045917135770175,-0.8400669781228268,-5.0
0.25,2.9582482008641424,2.9582482008641424,-1.0098694405649766,0.0
0.30000000000000004,2.9102493306136132,2.9102493306136132,-0.9062973200534793,-5.0
0.35000000000000003,2.8617419044443304,2.8617419044443304,-1.0301186382558598,-5.0
0.4,2.8076466342398056,2.8076466342398056,-1.1294432101714271,0.0
0.45,2.7554700073855978,2.7554700073855978,-0.9537121538111506,-5.0
0.5,2.70639587269161,2.70639587269161,-1.0055603025658626,-5.0
0.55,2.655288278997835,2.655288278997835,-1.0349958787314333,-5.0
0.6000000000000001,2.603270973563328,2.603270973563328,-1.041993893738013,-5.0
0.65,2.5514543569413766,2.5514543569413766,-1.0271041385216564,-5.0
0.7000000000000001,2.5009083177693476,2.5009083177693476,-0.9913843556988458,-5.0
0.75,2.452638928013906,2.452638928013906,-0.9363140058012032,0.0
0.8,2.413804858896941,2.413804858896941,-0.6147767776864073,0.0
0.8500000000000001,2.3913356241400434,2.3913356241400434,-0.28277642397743336,0.0
0.9,2.3855980418586142,2.3855980418586142,0.05347364221727974,0.0
0.9500000000000001,2.396653113091382,2.396653113091382,0.38792878197241537,0.0
1.0,2.4242603939967786,2.4242603939967786,0.7145477970644218,5.0
1.05,2.4741091187128417,2.4741091187128417,1.2760337621124052,5.0
1.1,2.5514303049518148,2.5514303049518148,1.8114861833677989,5.0
1.1500000000000001,2.6546199726304573,2.6546199726304573,2.308665336236614,5.0
1.2000000000000002,2.7814424548481114,2.7814424548481114,2.7546181454139793,5.0
1.25,2.929010714230518,2.929010714230518,3.1364115757275455,5.0
1.3,3.0938169226998484,3.0938169226998484,3.4423904329468438,5.0
1.35,-3.011350292564339,-3.011350292564339,3.663747528629398,5.0
1.4000000000000001,-2.824483488339065,-2.824483488339065,3.7960237398339864,5.0
1.4500000000000002,-2.633223283313826,-2.633223283313826,3.8400912810057415,5.0
1.5,-2.441843421049406,-2.441843421049406,3.8022830006787625,5.0
1.55,-2.2541794697881037,-2.2541794697881037,3.693592161248854,5.0
1.6,-2.073431351003931,-2.073431351003931,3.5281640917875463,5.0
1.6500000000000001,-1.90205053067453,-1.90205053067453,3.3214924746365986,5.0
1.7000000000000002,-1.7417156870605015,-1.7417156870605015,3.0887466404351973,5.0
1.75,-1.5933822384786676,-1.5933822384786676,2.8435233757700136,5.0
1.8,-1.4573810791262403,-1.4573810791262403,2.597130255860902,5.0
1.85,-1.3335406247427712,-1.3335406247427712,2.358353289171412,5.0
1.9000000000000001,-1.2213110066119177,-1.2213110066119177,2.1335789721583938,5.0
1.9500000000000002,-1.1198763798451603,-1.1198763798451603,1.9271246988507738,5.0
2.0,-1.0282481153162553,-1.0282481153162553,1.741655858458552,5.0
2.0500000000000003,-0.945336775654126,-0.945336775654126,1.578606795250817,5.0
2.1,-0.8700039737962024,-0.8700039737962024,1.4385593600635527,5.0
2.15,-0.8010968024932685,-0.8010968024932685,1.3215600006238997,0.0
2.2,-0.7437219658819405,-0.7437219658819405,0.976943011112327,5.0
2.25,-0.6968409783382596,-0.6968409783382596,0.9012133765725282,0.0
2.3000000000000003,-0.6595702425884786,-0.6595702425884786,0.5921231771790494,0.0
2.35,-0.6374251829734572,-0.6374251829734572,0.29525010931934736,0.0
2.4000000000000004,-0.6299362686620555,-0.6299362686620555,0.004923601235816866,5.0
2.45,-0.6306641370703838,-0.6306641370703838,-0.034069973138659865,5.0
2.5,-0.6333528904553862,-0.6333528904553862,-0.07364104820826715,5.0
2.5500000000000003,-0.6380508390988728,-0.6380508390988728,-0.11456911325091673,5.0
2.6,-0.64484567731225,-0.64484567731225,-0.15765197496332137,5.0
2.6500000000000004,-0.6538656856419269,-0.6538656856419269,-0.20371712909687342,5.0
2.7,-0.6652814871789712,-0.6652814871789712,-0.25363250229226886,5.0
2.75,-0.6793083177539372,-0.6793083177539372,-0.3083161893269736,5.0
2.8000000000000003,-0.6962087466779425,-0.6962087466779425,-0.36874462417263504,5.0
2.85,-0.7162957503448211,-0.7162957503448211,-0.4359583578270061,5.0
2.9000000000000004,-0.7399359909847192,-0.7399359909847192,-0.5110642501876248,5.0
2.95,-0.7675530815087352,-0.7675530815087352,-0.5952323913029471,5.0
3.0,-0.7996305176986414,-0.7996305176986414,-0.6896854213852851,5.0
3.0500000000000003,-0.8367138226473192,-0.8367138226473192,-0.7956770954553548,-5.0
3.1,-0.891917501794758,-0.891917501794758,-1.4151422239952476,-5.0
3.1500000000000004,-0.9785633458221046,-0.9785633458221046,-2.0546311098048484,-5.0
3.2,-1.0978193103966722,-1.0978193103966722,-2.7202805475904217,0.0
3.25,-1.244815338779587,-1.244815338779587,-3.164047768814373,-5.0
3.3000000000000003,-1.4208631864333097,-1.4208631864333097,-3.8809559984327944,-5.0
3.35,-1.6331102703733136,-1.6331102703733136,-4.609381759721389,-5.0
3.4000000000000004,-1.8816455010857125,-1.8816455010857125,-5.327969816305145,-5.0
3.45,-2.1652047963369765,-2.1652047963369765,-6.004024936170235,0.0
3.5,-2.4744080087355083,-2.4744080087355083,-6.346840986182792,-5.0
3.5500000000000003,-2.804078311249092,-2.804078311249092,-6.816301627581808,-5.0
3.6,3.1297819570713656,3.1297819570713656,-7.128587454942691,-5.0
3.6500000000000004,2.7691556856278403,2.7691556856278403,-7.267678198109878,-5.0
3.7,2.4057676975101376,2.4057676975101376,-7.242769739978198,0.0
3.75,2.053295356350252,2.053295356350252,-6.838765456893575,5.0
3.8000000000000003,1.7294107901364235,1.7294107901364235,-6.1086190931177535,5.0
